title,local_identifier,path
ENA 3365.4,ENA 3365.4,/tmp/arranged/arranged/ENA/3365/004
ENA 3365.5,ENA 3365.5,/tmp/arranged/arranged/ENA/3365/005
ENA 3365.2,ENA 3365.2,/tmp/arranged/arranged/ENA/3365/002
ENA 3157.15,ENA 3157.15,/tmp/arranged/arranged/ENA/3157/015
ENA 3157.7,ENA 3157.7,/tmp/arranged/arranged/ENA/3157/007
ENA 3157.1,ENA 3157.1,/tmp/arranged/arranged/ENA/3157/001
ENA 3157.6,ENA 3157.6,/tmp/arranged/arranged/ENA/3157/006
ENA 3157.3,ENA 3157.3,/tmp/arranged/arranged/ENA/3157/003
ENA 3157.4,ENA 3157.4,/tmp/arranged/arranged/ENA/3157/004
ENA 3157.5,ENA 3157.5,/tmp/arranged/arranged/ENA/3157/005
ENA 3157.2,ENA 3157.2,/tmp/arranged/arranged/ENA/3157/002
ENA 2415.9,ENA 2415.9,/tmp/arranged/arranged/ENA/2415/009
ENA 2415.1,ENA 2415.1,/tmp/arranged/arranged/ENA/2415/001
ENA 2415.3,ENA 2415.3,/tmp/arranged/arranged/ENA/2415/003
ENA 2415.4,ENA 2415.4,/tmp/arranged/arranged/ENA/2415/004
ENA 2415.2,ENA 2415.2,/tmp/arranged/arranged/ENA/2415/002
ENA 2627.104,ENA 2627.104,/tmp/arranged/arranged/ENA/2627/104
ENA 2627.103,ENA 2627.103,/tmp/arranged/arranged/ENA/2627/103
ENA 2627.102,ENA 2627.102,/tmp/arranged/arranged/ENA/2627/102
ENA 2627.105,ENA 2627.105,/tmp/arranged/arranged/ENA/2627/105
ENA 2627.24,ENA 2627.24,/tmp/arranged/arranged/ENA/2627/024
ENA 2627.23,ENA 2627.23,/tmp/arranged/arranged/ENA/2627/023
ENA 2627.15,ENA 2627.15,/tmp/arranged/arranged/ENA/2627/015
ENA 2627.12,ENA 2627.12,/tmp/arranged/arranged/ENA/2627/012
ENA 2627.79,ENA 2627.79,/tmp/arranged/arranged/ENA/2627/079
ENA 2627.46,ENA 2627.46,/tmp/arranged/arranged/ENA/2627/046
ENA 2627.41,ENA 2627.41,/tmp/arranged/arranged/ENA/2627/041
ENA 2627.48,ENA 2627.48,/tmp/arranged/arranged/ENA/2627/048
ENA 2627.77,ENA 2627.77,/tmp/arranged/arranged/ENA/2627/077
ENA 2627.83,ENA 2627.83,/tmp/arranged/arranged/ENA/2627/083
ENA 2627.84,ENA 2627.84,/tmp/arranged/arranged/ENA/2627/084
ENA 2627.70,ENA 2627.70,/tmp/arranged/arranged/ENA/2627/070
ENA 2627.13,ENA 2627.13,/tmp/arranged/arranged/ENA/2627/013
ENA 2627.14,ENA 2627.14,/tmp/arranged/arranged/ENA/2627/014
ENA 2627.22,ENA 2627.22,/tmp/arranged/arranged/ENA/2627/022
ENA 2627.25,ENA 2627.25,/tmp/arranged/arranged/ENA/2627/025
ENA 2627.71,ENA 2627.71,/tmp/arranged/arranged/ENA/2627/071
ENA 2627.85,ENA 2627.85,/tmp/arranged/arranged/ENA/2627/085
ENA 2627.49,ENA 2627.49,/tmp/arranged/arranged/ENA/2627/049
ENA 2627.82,ENA 2627.82,/tmp/arranged/arranged/ENA/2627/082
ENA 2627.76,ENA 2627.76,/tmp/arranged/arranged/ENA/2627/076
ENA 2627.40,ENA 2627.40,/tmp/arranged/arranged/ENA/2627/040
ENA 2627.78,ENA 2627.78,/tmp/arranged/arranged/ENA/2627/078
ENA 2627.47,ENA 2627.47,/tmp/arranged/arranged/ENA/2627/047
ENA 2627.65,ENA 2627.65,/tmp/arranged/arranged/ENA/2627/065
ENA 2627.91,ENA 2627.91,/tmp/arranged/arranged/ENA/2627/091
ENA 2627.96,ENA 2627.96,/tmp/arranged/arranged/ENA/2627/096
ENA 2627.62,ENA 2627.62,/tmp/arranged/arranged/ENA/2627/062
ENA 2627.54,ENA 2627.54,/tmp/arranged/arranged/ENA/2627/054
ENA 2627.53,ENA 2627.53,/tmp/arranged/arranged/ENA/2627/053
ENA 2627.98,ENA 2627.98,/tmp/arranged/arranged/ENA/2627/098
ENA 2627.38,ENA 2627.38,/tmp/arranged/arranged/ENA/2627/038
ENA 2627.7,ENA 2627.7,/tmp/arranged/arranged/ENA/2627/007
ENA 2627.9,ENA 2627.9,/tmp/arranged/arranged/ENA/2627/009
ENA 2627.36,ENA 2627.36,/tmp/arranged/arranged/ENA/2627/036
ENA 2627.31,ENA 2627.31,/tmp/arranged/arranged/ENA/2627/031
ENA 2627.52,ENA 2627.52,/tmp/arranged/arranged/ENA/2627/052
ENA 2627.99,ENA 2627.99,/tmp/arranged/arranged/ENA/2627/099
ENA 2627.55,ENA 2627.55,/tmp/arranged/arranged/ENA/2627/055
ENA 2627.63,ENA 2627.63,/tmp/arranged/arranged/ENA/2627/063
ENA 2627.97,ENA 2627.97,/tmp/arranged/arranged/ENA/2627/097
ENA 2627.90,ENA 2627.90,/tmp/arranged/arranged/ENA/2627/090
ENA 2627.64,ENA 2627.64,/tmp/arranged/arranged/ENA/2627/064
ENA 2627.30,ENA 2627.30,/tmp/arranged/arranged/ENA/2627/030
ENA 2627.8,ENA 2627.8,/tmp/arranged/arranged/ENA/2627/008
ENA 2627.37,ENA 2627.37,/tmp/arranged/arranged/ENA/2627/037
ENA 2627.1,ENA 2627.1,/tmp/arranged/arranged/ENA/2627/001
ENA 2627.39,ENA 2627.39,/tmp/arranged/arranged/ENA/2627/039
ENA 2627.6,ENA 2627.6,/tmp/arranged/arranged/ENA/2627/006
ENA 2627.116,ENA 2627.116,/tmp/arranged/arranged/ENA/2627/116
ENA 2627.111,ENA 2627.111,/tmp/arranged/arranged/ENA/2627/111
ENA 2627.118,ENA 2627.118,/tmp/arranged/arranged/ENA/2627/118
ENA 2627.127,ENA 2627.127,/tmp/arranged/arranged/ENA/2627/127
ENA 2627.120,ENA 2627.120,/tmp/arranged/arranged/ENA/2627/120
ENA 2627.121,ENA 2627.121,/tmp/arranged/arranged/ENA/2627/121
ENA 2627.119,ENA 2627.119,/tmp/arranged/arranged/ENA/2627/119
ENA 2627.126,ENA 2627.126,/tmp/arranged/arranged/ENA/2627/126
ENA 2627.110,ENA 2627.110,/tmp/arranged/arranged/ENA/2627/110
ENA 2627.128,ENA 2627.128,/tmp/arranged/arranged/ENA/2627/128
ENA 2627.117,ENA 2627.117,/tmp/arranged/arranged/ENA/2627/117
ENA 2627.109,ENA 2627.109,/tmp/arranged/arranged/ENA/2627/109
ENA 2627.100,ENA 2627.100,/tmp/arranged/arranged/ENA/2627/100
ENA 2627.107,ENA 2627.107,/tmp/arranged/arranged/ENA/2627/107
ENA 2627.106,ENA 2627.106,/tmp/arranged/arranged/ENA/2627/106
ENA 2627.101,ENA 2627.101,/tmp/arranged/arranged/ENA/2627/101
ENA 2627.108,ENA 2627.108,/tmp/arranged/arranged/ENA/2627/108
ENA 2627.89,ENA 2627.89,/tmp/arranged/arranged/ENA/2627/089
ENA 2627.42,ENA 2627.42,/tmp/arranged/arranged/ENA/2627/042
ENA 2627.45,ENA 2627.45,/tmp/arranged/arranged/ENA/2627/045
ENA 2627.87,ENA 2627.87,/tmp/arranged/arranged/ENA/2627/087
ENA 2627.73,ENA 2627.73,/tmp/arranged/arranged/ENA/2627/073
ENA 2627.74,ENA 2627.74,/tmp/arranged/arranged/ENA/2627/074
ENA 2627.80,ENA 2627.80,/tmp/arranged/arranged/ENA/2627/080
ENA 2627.20,ENA 2627.20,/tmp/arranged/arranged/ENA/2627/020
ENA 2627.27,ENA 2627.27,/tmp/arranged/arranged/ENA/2627/027
ENA 2627.18,ENA 2627.18,/tmp/arranged/arranged/ENA/2627/018
ENA 2627.11,ENA 2627.11,/tmp/arranged/arranged/ENA/2627/011
ENA 2627.16,ENA 2627.16,/tmp/arranged/arranged/ENA/2627/016
ENA 2627.29,ENA 2627.29,/tmp/arranged/arranged/ENA/2627/029
ENA 2627.81,ENA 2627.81,/tmp/arranged/arranged/ENA/2627/081
